stock_id,name,close,change_pct,volume,amount_m,ma5,ma20,strength,large_order_amount
2049,上銀,275.0,10.0,17997,4949.2,250.7,236.55,1.0,17208452.0
3707,漢磊,56.2,9.98,6301,354.1,51.76,54.84,1.0,5000000.0
6861,睿生光電,145.5,9.81,2126,309.3,135.9,141.9,1.0,5000000.0
6282,康舒,50.4,9.8,30470,1535.7,46.81,47.22,1.0,8922691.0
4909,新復興,65.2,9.76,6844,446.2,60.42,58.4,0.982,5000000.0
3691,碩禾,124.5,9.69,2546,317.0,114.7,112.75,1.0,5000000.0
6191,精成科,104.5,9.54,14232,1487.2,97.72,94.9,1.0,10081670.0
3551,世禾,191.0,9.46,3622,691.8,180.7,176.1,0.967,5000000.0
2497,怡利電,56.6,9.06,2154,121.9,52.1,47.13,0.911,5000000.0
3701,大眾控,62.0,8.77,10821,670.9,57.22,59.44,0.887,5000000.0
3709,鑫聯大投控,74.8,8.72,12110,905.8,69.76,68.0,0.864,5000000.0
4722,國精化,183.0,8.28,4129,755.6,173.4,173.82,0.857,5000000.0
4542,科嶠,186.5,7.8,1840,343.2,174.7,175.78,0.816,5000000.0
8932,智通*,88.0,7.71,3321,292.2,83.26,83.07,0.766,5000000.0
7703,銳澤,238.0,7.69,953,226.8,224.3,216.62,0.773,5000000.0
6909,創控,52.8,7.43,5248,277.1,49.91,47.1,0.778,5000000.0
4585,達明,319.5,7.21,689,220.1,302.8,301.0,0.812,5000000.0
2464,盟立,75.1,7.13,7602,570.9,69.96,71.98,0.811,5000000.0
3290,東浦,50.1,6.94,3485,174.6,46.89,44.46,0.746,5000000.0
3135,凌航,123.5,6.47,1784,220.3,116.4,119.75,0.75,5000000.0
7749,意騰-KY,398.5,6.41,384,153.0,371.4,384.68,0.833,5000000.0
3680,家登,404.5,6.03,4605,1862.7,399.7,393.32,0.859,11584864.0
1301,台塑,54.3,5.64,112783,6124.1,49.45,47.4,0.755,27441802.0
6643,M31,485.0,5.43,1493,724.1,470.1,473.68,0.725,6917402.0
2359,所羅門,114.5,5.05,2280,261.1,111.6,113.1,0.769,5000000.0
3019,亞光,131.0,4.8,4452,583.2,126.5,127.25,0.9,5000000.0
3374,精材,176.5,4.44,8964,1582.1,168.9,164.08,0.833,8006112.0
6526,達發,493.0,3.57,479,236.1,481.9,490.7,1.0,5000000.0
